huc8,source_author,source_gage,source_sensor,wy,wy_mo,cy,cy_mo,mo_days,wy_type,af,cfs
McCloud,CDEC,MSS,65,1906,1,1905,10,31,W,89900,1462.083333
McCloud,CDEC,MSS,65,1906,2,1905,11,30,W,110900,1863.736111
McCloud,CDEC,MSS,65,1906,3,1905,12,31,W,156900,2551.733871
McCloud,CDEC,MSS,65,1906,4,1906,1,31,W,192400,3129.086022
McCloud,CDEC,MSS,65,1906,5,1906,2,28,W,237800,4281.815476
McCloud,CDEC,MSS,65,1906,6,1906,3,31,W,227400,3698.306452
McCloud,CDEC,MSS,65,1906,7,1906,4,30,W,231400,3888.805556
McCloud,CDEC,MSS,65,1906,8,1906,5,31,W,179600,2920.913978
McCloud,CDEC,MSS,65,1906,9,1906,6,30,W,123100,2068.763889
McCloud,CDEC,MSS,65,1906,10,1906,7,31,W,100000,1626.344086
McCloud,CDEC,MSS,65,1906,11,1906,8,31,W,90100,1465.336022
McCloud,CDEC,MSS,65,1906,12,1906,9,30,W,84100,1413.347222
McCloud,CDEC,MSS,65,1907,1,1906,10,31,W,110500,1797.110215
McCloud,CDEC,MSS,65,1907,2,1906,11,30,W,136300,2290.597222
McCloud,CDEC,MSS,65,1907,3,1906,12,31,W,192800,3135.591398
McCloud,CDEC,MSS,65,1907,4,1907,1,31,W,236500,3846.303763
McCloud,CDEC,MSS,65,1907,5,1907,2,28,W,292300,5263.139881
McCloud,CDEC,MSS,65,1907,6,1907,3,31,W,279600,4547.258065
McCloud,CDEC,MSS,65,1907,7,1907,4,30,W,284500,4781.180556
McCloud,CDEC,MSS,65,1907,8,1907,5,31,W,220800,3590.967742
McCloud,CDEC,MSS,65,1907,9,1907,6,30,W,151300,2542.680556
McCloud,CDEC,MSS,65,1907,10,1907,7,31,W,122900,1998.776882
McCloud,CDEC,MSS,65,1907,11,1907,8,31,W,110700,1800.362903
McCloud,CDEC,MSS,65,1907,12,1907,9,30,W,103400,1737.694444
McCloud,CDEC,MSS,65,1908,1,1907,10,31,W,63000,1024.596774
McCloud,CDEC,MSS,65,1908,2,1907,11,30,BN,77700,1305.791667
McCloud,CDEC,MSS,65,1908,3,1907,12,31,BN,109900,1787.352151
McCloud,CDEC,MSS,65,1908,4,1908,1,32,BN,134900,2125.377604
McCloud,CDEC,MSS,65,1908,5,1908,2,29,BN,166700,2898.08908
McCloud,CDEC,MSS,65,1908,6,1908,3,32,BN,159400,2511.380208
McCloud,CDEC,MSS,65,1908,7,1908,4,31,BN,162200,2637.930108
McCloud,CDEC,MSS,65,1908,8,1908,5,32,BN,125900,1983.580729
McCloud,CDEC,MSS,65,1908,9,1908,6,31,BN,86300,1403.534946
McCloud,CDEC,MSS,65,1908,10,1908,7,32,BN,70100,1104.440104
McCloud,CDEC,MSS,65,1908,11,1908,8,32,BN,63200,995.7291667
McCloud,CDEC,MSS,65,1908,12,1908,9,31,BN,58900,957.9166667
McCloud,CDEC,MSS,65,1909,1,1908,10,32,BN,116000,1827.604167
McCloud,CDEC,MSS,65,1909,2,1908,11,31,W,143100,2327.298387
McCloud,CDEC,MSS,65,1909,3,1908,12,32,W,202400,3188.854167
McCloud,CDEC,MSS,65,1909,4,1909,1,31,W,248300,4038.212366
McCloud,CDEC,MSS,65,1909,5,1909,2,28,W,306900,5526.026786
McCloud,CDEC,MSS,65,1909,6,1909,3,31,W,293500,4773.319892
McCloud,CDEC,MSS,65,1909,7,1909,4,30,W,298600,5018.138889
McCloud,CDEC,MSS,65,1909,8,1909,5,31,W,231800,3769.865591
McCloud,CDEC,MSS,65,1909,9,1909,6,30,W,158800,2668.722222
McCloud,CDEC,MSS,65,1909,10,1909,7,31,W,129000,2097.983871
McCloud,CDEC,MSS,65,1909,11,1909,8,31,W,116300,1891.438172
McCloud,CDEC,MSS,65,1909,12,1909,9,30,W,108500,1823.402778
McCloud,CDEC,MSS,65,1910,1,1909,10,31,W,72500,1179.099462
McCloud,CDEC,MSS,65,1910,2,1909,11,30,W,89400,1502.416667
McCloud,CDEC,MSS,65,1910,3,1909,12,31,W,126500,2057.325269
McCloud,CDEC,MSS,65,1910,4,1910,1,31,W,155200,2524.086022
McCloud,CDEC,MSS,65,1910,5,1910,2,28,W,191800,3453.541667
McCloud,CDEC,MSS,65,1910,6,1910,3,31,W,183500,2984.341398
McCloud,CDEC,MSS,65,1910,7,1910,4,30,W,186700,3137.597222
McCloud,CDEC,MSS,65,1910,8,1910,5,31,W,144900,2356.572581
McCloud,CDEC,MSS,65,1910,9,1910,6,30,W,99300,1668.791667
McCloud,CDEC,MSS,65,1910,10,1910,7,31,W,80600,1310.833333
McCloud,CDEC,MSS,65,1910,11,1910,8,31,W,72700,1182.352151
McCloud,CDEC,MSS,65,1910,12,1910,9,30,W,67800,1139.416667
McCloud,CDEC,MSS,65,1911,1,1910,10,31,W,80500,1309.206989
McCloud,CDEC,MSS,65,1911,2,1910,11,30,W,99200,1667.111111
McCloud,CDEC,MSS,65,1911,3,1910,12,31,W,140400,2283.387097
McCloud,CDEC,MSS,65,1911,4,1911,1,31,W,172200,2800.564516
McCloud,CDEC,MSS,65,1911,5,1911,2,28,W,212900,3833.467262
McCloud,CDEC,MSS,65,1911,6,1911,3,31,W,203600,3311.236559
McCloud,CDEC,MSS,65,1911,7,1911,4,30,W,207200,3482.111111
McCloud,CDEC,MSS,65,1911,8,1911,5,31,W,160800,2615.16129
McCloud,CDEC,MSS,65,1911,9,1911,6,30,W,110200,1851.972222
McCloud,CDEC,MSS,65,1911,10,1911,7,31,W,89500,1455.577957
McCloud,CDEC,MSS,65,1911,11,1911,8,31,W,80600,1310.833333
McCloud,CDEC,MSS,65,1911,12,1911,9,30,W,75300,1265.458333
McCloud,CDEC,MSS,65,1912,1,1911,10,31,W,84800,1379.139785
McCloud,CDEC,MSS,65,1912,2,1911,11,30,BN,80300,1349.486111
McCloud,CDEC,MSS,65,1912,3,1911,12,31,BN,79300,1289.69086
McCloud,CDEC,MSS,65,1912,4,1912,1,32,BN,137000,2158.463542
McCloud,CDEC,MSS,65,1912,5,1912,2,29,BN,104000,1808.045977
McCloud,CDEC,MSS,65,1912,6,1912,3,32,BN,138000,2174.21875
McCloud,CDEC,MSS,65,1912,7,1912,4,31,BN,114000,1854.032258
McCloud,CDEC,MSS,65,1912,8,1912,5,32,BN,180000,2835.9375
McCloud,CDEC,MSS,65,1912,9,1912,6,31,BN,105000,1707.66129
McCloud,CDEC,MSS,65,1912,10,1912,7,32,BN,82400,1298.229167
McCloud,CDEC,MSS,65,1912,11,1912,8,32,BN,77500,1221.028646
McCloud,CDEC,MSS,65,1912,12,1912,9,31,BN,75000,1219.758065
McCloud,CDEC,MSS,65,1913,1,1912,10,32,BN,74400,1172.1875
McCloud,CDEC,MSS,65,1913,2,1912,11,31,D,114000,1854.032258
McCloud,CDEC,MSS,65,1913,3,1912,12,32,D,97800,1540.859375
McCloud,CDEC,MSS,65,1913,4,1913,1,31,D,151000,2455.77957
McCloud,CDEC,MSS,65,1913,5,1913,2,28,D,104000,1872.619048
McCloud,CDEC,MSS,65,1913,6,1913,3,31,D,107000,1740.188172
McCloud,CDEC,MSS,65,1913,7,1913,4,30,D,157000,2638.472222
McCloud,CDEC,MSS,65,1913,8,1913,5,31,D,149000,2423.252688
McCloud,CDEC,MSS,65,1913,9,1913,6,30,D,92200,1549.472222
McCloud,CDEC,MSS,65,1913,10,1913,7,31,D,79300,1289.69086
McCloud,CDEC,MSS,65,1913,11,1913,8,31,D,73800,1200.241935
McCloud,CDEC,MSS,65,1913,12,1913,9,30,D,68400,1149.5
McCloud,CDEC,MSS,65,1914,1,1913,10,31,D,70700,1149.825269
McCloud,CDEC,MSS,65,1914,2,1913,11,30,W,81500,1369.652778
McCloud,CDEC,MSS,65,1914,3,1913,12,31,W,125000,2032.930108
McCloud,CDEC,MSS,65,1914,4,1914,1,31,W,443000,7204.704301
McCloud,CDEC,MSS,65,1914,5,1914,2,28,W,245000,4411.458333
McCloud,CDEC,MSS,65,1914,6,1914,3,31,W,215000,3496.639785
McCloud,CDEC,MSS,65,1914,7,1914,4,30,W,299000,5024.861111
McCloud,CDEC,MSS,65,1914,8,1914,5,31,W,184000,2992.473118
McCloud,CDEC,MSS,65,1914,9,1914,6,30,W,126000,2117.5
McCloud,CDEC,MSS,65,1914,10,1914,7,31,W,101000,1642.607527
McCloud,CDEC,MSS,65,1914,11,1914,8,31,W,87900,1429.556452
McCloud,CDEC,MSS,65,1914,12,1914,9,30,W,76200,1280.583333
McCloud,CDEC,MSS,65,1915,1,1914,10,31,W,82400,1340.107527
McCloud,CDEC,MSS,65,1915,2,1914,11,30,W,76200,1280.583333
McCloud,CDEC,MSS,65,1915,3,1914,12,31,W,79900,1299.448925
McCloud,CDEC,MSS,65,1915,4,1915,1,31,W,124000,2016.666667
McCloud,CDEC,MSS,65,1915,5,1915,2,28,W,382000,6878.27381
McCloud,CDEC,MSS,65,1915,6,1915,3,31,W,271000,4407.392473
McCloud,CDEC,MSS,65,1915,7,1915,4,30,W,272000,4571.111111
McCloud,CDEC,MSS,65,1915,8,1915,5,31,W,325000,5285.61828
McCloud,CDEC,MSS,65,1915,9,1915,6,30,W,143000,2403.194444
McCloud,CDEC,MSS,65,1915,10,1915,7,31,W,110000,1788.978495
McCloud,CDEC,MSS,65,1915,11,1915,8,31,W,94700,1540.147849
McCloud,CDEC,MSS,65,1915,12,1915,9,30,W,86900,1460.402778
McCloud,CDEC,MSS,65,1916,1,1915,10,31,W,87900,1429.556452
McCloud,CDEC,MSS,65,1916,2,1915,11,30,W,85100,1430.152778
McCloud,CDEC,MSS,65,1916,3,1915,12,31,W,161000,2618.413978
McCloud,CDEC,MSS,65,1916,4,1916,1,32,W,202000,3182.552083
McCloud,CDEC,MSS,65,1916,5,1916,2,29,W,351000,6102.155172
McCloud,CDEC,MSS,65,1916,6,1916,3,32,W,300000,4726.5625
McCloud,CDEC,MSS,65,1916,7,1916,4,31,W,208000,3382.795699
McCloud,CDEC,MSS,65,1916,8,1916,5,32,W,152000,2394.791667
McCloud,CDEC,MSS,65,1916,9,1916,6,31,W,111000,1805.241935
McCloud,CDEC,MSS,65,1916,10,1916,7,32,W,105000,1654.296875
McCloud,CDEC,MSS,65,1916,11,1916,8,32,W,90400,1424.270833
McCloud,CDEC,MSS,65,1916,12,1916,9,31,W,82700,1344.986559
McCloud,CDEC,MSS,65,1917,1,1916,10,32,W,85500,1347.070313
McCloud,CDEC,MSS,65,1917,2,1916,11,31,AN,83300,1354.744624
McCloud,CDEC,MSS,65,1917,3,1916,12,32,AN,101000,1591.276042
McCloud,CDEC,MSS,65,1917,4,1917,1,31,AN,89800,1460.456989
McCloud,CDEC,MSS,65,1917,5,1917,2,28,AN,185000,3331.10119
McCloud,CDEC,MSS,65,1917,6,1917,3,31,AN,125000,2032.930108
McCloud,CDEC,MSS,65,1917,7,1917,4,30,AN,152000,2554.444444
McCloud,CDEC,MSS,65,1917,8,1917,5,31,AN,127000,2065.456989
McCloud,CDEC,MSS,65,1917,9,1917,6,30,AN,91000,1529.305556
McCloud,CDEC,MSS,65,1917,10,1917,7,31,AN,75000,1219.758065
McCloud,CDEC,MSS,65,1917,11,1917,8,31,AN,67000,1089.650538
McCloud,CDEC,MSS,65,1917,12,1917,9,30,AN,64900,1090.680556
McCloud,CDEC,MSS,65,1918,1,1917,10,31,AN,66400,1079.892473
McCloud,CDEC,MSS,65,1918,2,1917,11,30,D,66000,1109.166667
McCloud,CDEC,MSS,65,1918,3,1917,12,31,D,80500,1309.206989
McCloud,CDEC,MSS,65,1918,4,1918,1,31,D,71900,1169.341398
McCloud,CDEC,MSS,65,1918,5,1918,2,28,D,103000,1854.613095
McCloud,CDEC,MSS,65,1918,6,1918,3,31,D,183000,2976.209677
McCloud,CDEC,MSS,65,1918,7,1918,4,30,D,136000,2285.555556
McCloud,CDEC,MSS,65,1918,8,1918,5,31,D,84200,1369.38172
McCloud,CDEC,MSS,65,1918,9,1918,6,30,D,64300,1080.597222
McCloud,CDEC,MSS,65,1918,10,1918,7,31,D,60300,980.6854839
McCloud,CDEC,MSS,65,1918,11,1918,8,31,D,59300,964.422043
McCloud,CDEC,MSS,65,1918,12,1918,9,30,D,57500,966.3194444
McCloud,CDEC,MSS,65,1919,1,1918,10,31,D,60600,985.5645161
McCloud,CDEC,MSS,65,1919,2,1918,11,30,BN,61300,1030.180556
McCloud,CDEC,MSS,65,1919,3,1918,12,31,BN,63900,1039.233871
McCloud,CDEC,MSS,65,1919,4,1919,1,31,BN,125000,2032.930108
McCloud,CDEC,MSS,65,1919,5,1919,2,28,BN,208000,3745.238095
McCloud,CDEC,MSS,65,1919,6,1919,3,31,BN,144000,2341.935484
McCloud,CDEC,MSS,65,1919,7,1919,4,30,BN,161000,2705.694444
McCloud,CDEC,MSS,65,1919,8,1919,5,31,BN,109000,1772.715054
McCloud,CDEC,MSS,65,1919,9,1919,6,30,BN,72000,1210
McCloud,CDEC,MSS,65,1919,10,1919,7,31,BN,65800,1070.134409
McCloud,CDEC,MSS,65,1919,11,1919,8,31,BN,60900,990.4435484
McCloud,CDEC,MSS,65,1919,12,1919,9,30,BN,58400,981.4444444
McCloud,CDEC,MSS,65,1920,1,1919,10,31,BN,60100,977.4327957
McCloud,CDEC,MSS,65,1920,2,1919,11,30,C,55200,927.6666667
McCloud,CDEC,MSS,65,1920,3,1919,12,31,C,65800,1070.134409
McCloud,CDEC,MSS,65,1920,4,1920,1,32,C,60600,954.765625
McCloud,CDEC,MSS,65,1920,5,1920,2,29,C,54600,949.2241379
McCloud,CDEC,MSS,65,1920,6,1920,3,32,C,80600,1269.869792
McCloud,CDEC,MSS,65,1920,7,1920,4,31,C,120000,1951.612903
McCloud,CDEC,MSS,65,1920,8,1920,5,32,C,78700,1239.934896
McCloud,CDEC,MSS,65,1920,9,1920,6,31,C,61300,996.9489247
McCloud,CDEC,MSS,65,1920,10,1920,7,32,C,57500,905.9244792
McCloud,CDEC,MSS,65,1920,11,1920,8,32,C,54900,864.9609375
McCloud,CDEC,MSS,65,1920,12,1920,9,31,C,51600,839.1935484
McCloud,CDEC,MSS,65,1921,1,1920,10,32,C,56100,883.8671875
McCloud,CDEC,MSS,65,1921,2,1920,11,31,AN,201000,3268.951613
McCloud,CDEC,MSS,65,1921,3,1920,12,32,AN,200000,3151.041667
McCloud,CDEC,MSS,65,1921,4,1921,1,31,AN,273000,4439.919355
McCloud,CDEC,MSS,65,1921,5,1921,2,28,AN,209000,3763.244048
McCloud,CDEC,MSS,65,1921,6,1921,3,31,AN,247000,4017.069892
McCloud,CDEC,MSS,65,1921,7,1921,4,30,AN,173000,2907.361111
McCloud,CDEC,MSS,65,1921,8,1921,5,31,AN,141000,2293.145161
McCloud,CDEC,MSS,65,1921,9,1921,6,30,AN,98200,1650.305556
McCloud,CDEC,MSS,65,1921,10,1921,7,31,AN,78100,1270.174731
McCloud,CDEC,MSS,65,1921,11,1921,8,31,AN,68900,1120.551075
McCloud,CDEC,MSS,65,1921,12,1921,9,30,AN,63100,1060.430556
McCloud,CDEC,MSS,65,1922,1,1921,10,31,AN,63300,1029.475806
McCloud,CDEC,MSS,65,1922,2,1921,11,30,AN,61900,1040.263889
McCloud,CDEC,MSS,65,1922,3,1921,12,31,AN,81800,1330.349462
McCloud,CDEC,MSS,65,1922,4,1922,1,31,AN,76900,1250.658602
McCloud,CDEC,MSS,65,1922,5,1922,2,28,AN,135000,2430.803571
McCloud,CDEC,MSS,65,1922,6,1922,3,31,AN,139000,2260.61828
McCloud,CDEC,MSS,65,1922,7,1922,4,30,AN,161000,2705.694444
McCloud,CDEC,MSS,65,1922,8,1922,5,31,AN,165000,2683.467742
McCloud,CDEC,MSS,65,1922,9,1922,6,30,AN,98800,1660.388889
McCloud,CDEC,MSS,65,1922,10,1922,7,31,AN,71900,1169.341398
McCloud,CDEC,MSS,65,1922,11,1922,8,31,AN,65200,1060.376344
McCloud,CDEC,MSS,65,1922,12,1922,9,30,AN,61300,1030.180556
McCloud,CDEC,MSS,65,1923,1,1922,10,31,AN,62700,1019.717742
McCloud,CDEC,MSS,65,1923,2,1922,11,30,BN,63100,1060.430556
McCloud,CDEC,MSS,65,1923,3,1922,12,31,BN,76900,1250.658602
McCloud,CDEC,MSS,65,1923,4,1923,1,31,BN,84800,1379.139785
McCloud,CDEC,MSS,65,1923,5,1923,2,28,BN,69400,1249.613095
McCloud,CDEC,MSS,65,1923,6,1923,3,31,BN,75000,1219.758065
McCloud,CDEC,MSS,65,1923,7,1923,4,30,BN,158000,2655.277778
McCloud,CDEC,MSS,65,1923,8,1923,5,31,BN,95300,1549.905914
McCloud,CDEC,MSS,65,1923,9,1923,6,30,BN,68400,1149.5
McCloud,CDEC,MSS,65,1923,10,1923,7,31,BN,61000,992.0698925
McCloud,CDEC,MSS,65,1923,11,1923,8,31,BN,57600,936.7741935
McCloud,CDEC,MSS,65,1923,12,1923,9,30,BN,54900,922.625
McCloud,CDEC,MSS,65,1924,1,1923,10,31,BN,57800,940.0268817
McCloud,CDEC,MSS,65,1924,2,1923,11,30,C,50700,852.0416667
McCloud,CDEC,MSS,65,1924,3,1923,12,31,C,54100,879.8521505
McCloud,CDEC,MSS,65,1924,4,1924,1,32,C,54600,860.234375
McCloud,CDEC,MSS,65,1924,5,1924,2,29,C,83400,1449.913793
McCloud,CDEC,MSS,65,1924,6,1924,3,32,C,56400,888.59375
McCloud,CDEC,MSS,65,1924,7,1924,4,31,C,53000,861.9623656
McCloud,CDEC,MSS,65,1924,8,1924,5,32,C,50300,792.4869792
McCloud,CDEC,MSS,65,1924,9,1924,6,31,C,46200,751.3709677
McCloud,CDEC,MSS,65,1924,10,1924,7,32,C,47100,742.0703125
McCloud,CDEC,MSS,65,1924,11,1924,8,32,C,46600,734.1927083
McCloud,CDEC,MSS,65,1924,12,1924,9,31,C,44800,728.6021505
McCloud,CDEC,MSS,65,1925,1,1924,10,32,C,54000,850.78125
McCloud,CDEC,MSS,65,1925,2,1924,11,31,D,79700,1296.196237
McCloud,CDEC,MSS,65,1925,3,1924,12,32,D,68200,1074.505208
McCloud,CDEC,MSS,65,1925,4,1925,1,31,D,74400,1210
McCloud,CDEC,MSS,65,1925,5,1925,2,28,D,284000,5113.690476
McCloud,CDEC,MSS,65,1925,6,1925,3,31,D,130000,2114.247312
McCloud,CDEC,MSS,65,1925,7,1925,4,30,D,228000,3831.666667
McCloud,CDEC,MSS,65,1925,8,1925,5,31,D,127000,2065.456989
McCloud,CDEC,MSS,65,1925,9,1925,6,30,D,86900,1460.402778
McCloud,CDEC,MSS,65,1925,10,1925,7,31,D,68900,1120.551075
McCloud,CDEC,MSS,65,1925,11,1925,8,31,D,61500,1000.201613
McCloud,CDEC,MSS,65,1925,12,1925,9,30,D,61300,1030.180556
McCloud,CDEC,MSS,65,1926,1,1925,10,31,D,56100,912.3790323
McCloud,CDEC,MSS,65,1926,2,1925,11,30,D,53400,897.4166667
McCloud,CDEC,MSS,65,1926,3,1925,12,31,D,59500,967.6747312
McCloud,CDEC,MSS,65,1926,4,1926,1,31,D,52300,850.577957
McCloud,CDEC,MSS,65,1926,5,1926,2,28,D,209000,3763.244048
McCloud,CDEC,MSS,65,1926,6,1926,3,31,D,84800,1379.139785
McCloud,CDEC,MSS,65,1926,7,1926,4,30,D,120000,2016.666667
McCloud,CDEC,MSS,65,1926,8,1926,5,31,D,72600,1180.725806
McCloud,CDEC,MSS,65,1926,9,1926,6,30,D,57500,966.3194444
McCloud,CDEC,MSS,65,1926,10,1926,7,31,D,53200,865.2150538
McCloud,CDEC,MSS,65,1926,11,1926,8,31,D,52300,850.577957
McCloud,CDEC,MSS,65,1926,12,1926,9,30,D,50100,841.9583333
McCloud,CDEC,MSS,65,1927,1,1926,10,31,D,51400,835.9408602
McCloud,CDEC,MSS,65,1927,2,1926,11,30,W,161000,2705.694444
McCloud,CDEC,MSS,65,1927,3,1926,12,31,W,189000,3073.790323
McCloud,CDEC,MSS,65,1927,4,1927,1,31,W,157000,2553.360215
McCloud,CDEC,MSS,65,1927,5,1927,2,28,W,315000,5671.875
McCloud,CDEC,MSS,65,1927,6,1927,3,31,W,180000,2927.419355
McCloud,CDEC,MSS,65,1927,7,1927,4,30,W,276000,4638.333333
McCloud,CDEC,MSS,65,1927,8,1927,5,31,W,159000,2585.887097
McCloud,CDEC,MSS,65,1927,9,1927,6,30,W,101000,1697.361111
McCloud,CDEC,MSS,65,1927,10,1927,7,31,W,76200,1239.274194
McCloud,CDEC,MSS,65,1927,11,1927,8,31,W,65800,1070.134409
McCloud,CDEC,MSS,65,1927,12,1927,9,30,W,59500,999.9305556
McCloud,CDEC,MSS,65,1928,1,1927,10,31,W,57200,930.2688172
McCloud,CDEC,MSS,65,1928,2,1927,11,30,AN,108000,1815
McCloud,CDEC,MSS,65,1928,3,1927,12,31,AN,73200,1190.483871
McCloud,CDEC,MSS,65,1928,4,1928,1,32,AN,105000,1654.296875
McCloud,CDEC,MSS,65,1928,5,1928,2,29,AN,162000,2816.37931
McCloud,CDEC,MSS,65,1928,6,1928,3,32,AN,217000,3418.880208
McCloud,CDEC,MSS,65,1928,7,1928,4,31,AN,172000,2797.311828
McCloud,CDEC,MSS,65,1928,8,1928,5,32,AN,97800,1540.859375
McCloud,CDEC,MSS,65,1928,9,1928,6,31,AN,69000,1122.177419
McCloud,CDEC,MSS,65,1928,10,1928,7,32,AN,63300,997.3046875
McCloud,CDEC,MSS,65,1928,11,1928,8,32,AN,58700,924.8307292
McCloud,CDEC,MSS,65,1928,12,1928,9,31,AN,55900,909.1263441
McCloud,CDEC,MSS,65,1929,1,1928,10,32,AN,57600,907.5
McCloud,CDEC,MSS,65,1929,2,1928,11,31,C,60700,987.1908602
McCloud,CDEC,MSS,65,1929,3,1928,12,32,C,60400,951.6145833
McCloud,CDEC,MSS,65,1929,4,1929,1,31,C,60600,985.5645161
McCloud,CDEC,MSS,65,1929,5,1929,2,28,C,77800,1400.863095
McCloud,CDEC,MSS,65,1929,6,1929,3,31,C,79900,1299.448925
McCloud,CDEC,MSS,65,1929,7,1929,4,30,C,88700,1490.652778
McCloud,CDEC,MSS,65,1929,8,1929,5,31,C,75000,1219.758065
McCloud,CDEC,MSS,65,1929,9,1929,6,30,C,59200,994.8888889
McCloud,CDEC,MSS,65,1929,10,1929,7,31,C,54100,879.8521505
McCloud,CDEC,MSS,65,1929,11,1929,8,31,C,51100,831.061828
McCloud,CDEC,MSS,65,1929,12,1929,9,30,C,48600,816.75
McCloud,CDEC,MSS,65,1930,1,1929,10,31,C,50200,816.4247312
McCloud,CDEC,MSS,65,1930,2,1929,11,30,D,45500,764.6527778
McCloud,CDEC,MSS,65,1930,3,1929,12,31,D,189000,3073.790323
McCloud,CDEC,MSS,65,1930,4,1930,1,31,D,87300,1419.798387
McCloud,CDEC,MSS,65,1930,5,1930,2,28,D,106000,1908.630952
McCloud,CDEC,MSS,65,1930,6,1930,3,31,D,146000,2374.462366
McCloud,CDEC,MSS,65,1930,7,1930,4,30,D,96400,1620.055556
McCloud,CDEC,MSS,65,1930,8,1930,5,31,D,77500,1260.416667
McCloud,CDEC,MSS,65,1930,9,1930,6,30,D,57500,966.3194444
McCloud,CDEC,MSS,65,1930,10,1930,7,31,D,52700,857.0833333
McCloud,CDEC,MSS,65,1930,11,1930,8,31,D,50400,819.6774194
McCloud,CDEC,MSS,65,1930,12,1930,9,30,D,49600,833.5555556
McCloud,CDEC,MSS,65,1931,1,1930,10,31,D,50900,827.8091398
McCloud,CDEC,MSS,65,1931,2,1930,11,30,C,46200,776.4166667
McCloud,CDEC,MSS,65,1931,3,1930,12,31,C,46700,759.5026882
McCloud,CDEC,MSS,65,1931,4,1931,1,31,C,60900,990.4435484
McCloud,CDEC,MSS,65,1931,5,1931,2,28,C,60500,1089.360119
McCloud,CDEC,MSS,65,1931,6,1931,3,31,C,92800,1509.247312
McCloud,CDEC,MSS,65,1931,7,1931,4,30,C,59200,994.8888889
McCloud,CDEC,MSS,65,1931,8,1931,5,31,C,49500,805.0403226
McCloud,CDEC,MSS,65,1931,9,1931,6,30,C,43400,729.3611111
McCloud,CDEC,MSS,65,1931,10,1931,7,31,C,41800,679.811828
McCloud,CDEC,MSS,65,1931,11,1931,8,31,C,40500,658.6693548
McCloud,CDEC,MSS,65,1931,12,1931,9,30,C,39300,660.4583333
McCloud,CDEC,MSS,65,1932,1,1931,10,31,C,42100,684.6908602
McCloud,CDEC,MSS,65,1932,2,1931,11,30,D,41400,695.75
McCloud,CDEC,MSS,65,1932,3,1931,12,31,D,84200,1369.38172
McCloud,CDEC,MSS,65,1932,4,1932,1,32,D,74400,1172.1875
McCloud,CDEC,MSS,65,1932,5,1932,2,29,D,68400,1189.137931
McCloud,CDEC,MSS,65,1932,6,1932,3,32,D,111000,1748.828125
McCloud,CDEC,MSS,65,1932,7,1932,4,31,D,88100,1432.80914
McCloud,CDEC,MSS,65,1932,8,1932,5,32,D,94700,1492.018229
McCloud,CDEC,MSS,65,1932,9,1932,6,31,D,56200,914.0053763
McCloud,CDEC,MSS,65,1932,10,1932,7,32,D,46400,731.0416667
McCloud,CDEC,MSS,65,1932,11,1932,8,32,D,42200,664.8697917
McCloud,CDEC,MSS,65,1932,12,1932,9,31,D,39600,644.0322581
McCloud,CDEC,MSS,65,1933,1,1932,10,32,D,40600,639.6614583
McCloud,CDEC,MSS,65,1933,2,1932,11,31,C,42700,694.4489247
McCloud,CDEC,MSS,65,1933,3,1932,12,32,C,45000,708.984375
McCloud,CDEC,MSS,65,1933,4,1933,1,31,C,50100,814.7983871
McCloud,CDEC,MSS,65,1933,5,1933,2,28,C,50000,900.297619
McCloud,CDEC,MSS,65,1933,6,1933,3,31,C,181000,2943.682796
McCloud,CDEC,MSS,65,1933,7,1933,4,30,C,118000,1983.055556
McCloud,CDEC,MSS,65,1933,8,1933,5,31,C,100000,1626.344086
McCloud,CDEC,MSS,65,1933,9,1933,6,30,C,74400,1250.333333
McCloud,CDEC,MSS,65,1933,10,1933,7,31,C,50400,819.6774194
McCloud,CDEC,MSS,65,1933,11,1933,8,31,C,43900,713.9650538
McCloud,CDEC,MSS,65,1933,12,1933,9,30,C,41200,692.3888889
McCloud,CDEC,MSS,65,1934,1,1933,10,31,C,43600,709.0860215
McCloud,CDEC,MSS,65,1934,2,1933,11,30,C,42000,705.8333333
McCloud,CDEC,MSS,65,1934,3,1933,12,31,C,81800,1330.349462
McCloud,CDEC,MSS,65,1934,4,1934,1,31,C,129000,2097.983871
McCloud,CDEC,MSS,65,1934,5,1934,2,28,C,118000,2124.702381
McCloud,CDEC,MSS,65,1934,6,1934,3,31,C,107000,1740.188172
McCloud,CDEC,MSS,65,1934,7,1934,4,30,C,78000,1310.833333
McCloud,CDEC,MSS,65,1934,8,1934,5,31,C,68900,1120.551075
McCloud,CDEC,MSS,65,1934,9,1934,6,30,C,50300,845.3194444
McCloud,CDEC,MSS,65,1934,10,1934,7,31,C,45200,735.1075269
McCloud,CDEC,MSS,65,1934,11,1934,8,31,C,42200,686.3172043
McCloud,CDEC,MSS,65,1934,12,1934,9,30,C,39700,667.1805556
McCloud,CDEC,MSS,65,1935,1,1934,10,31,C,42700,694.4489247
McCloud,CDEC,MSS,65,1935,2,1934,11,30,BN,70500,1184.791667
McCloud,CDEC,MSS,65,1935,3,1934,12,31,BN,54870,892.375
McCloud,CDEC,MSS,65,1935,4,1935,1,31,BN,102600,1668.629032
McCloud,CDEC,MSS,65,1935,5,1935,2,28,BN,100100,1802.395833
McCloud,CDEC,MSS,65,1935,6,1935,3,31,BN,115400,1876.801075
McCloud,CDEC,MSS,65,1935,7,1935,4,30,BN,218600,3673.694444
