huc8,source_author,source_gage,source_sensor,wy_type,wy_mo,cy_mo,stat,af,cfs
McCloud,CDEC,MSS,65,C,1,10,mean,45064.1875,723.7150183
McCloud,CDEC,MSS,65,C,2,11,mean,49896.3125,833.3031673
McCloud,CDEC,MSS,65,C,3,12,mean,66432.125,1075.43394
McCloud,CDEC,MSS,65,C,4,1,mean,66393.8125,1066.843762
McCloud,CDEC,MSS,65,C,5,2,mean,76383.625,1355.871847
McCloud,CDEC,MSS,65,C,6,3,mean,89657.0625,1442.585596
McCloud,CDEC,MSS,65,C,7,4,mean,75964.5,1259.914397
McCloud,CDEC,MSS,65,C,8,5,mean,67444.625,1083.363479
McCloud,CDEC,MSS,65,C,9,6,mean,54348.5625,901.9135758
McCloud,CDEC,MSS,65,C,10,7,mean,48499.6875,778.7382093
McCloud,CDEC,MSS,65,C,11,8,mean,45564.9375,731.5225817
McCloud,CDEC,MSS,65,C,12,9,mean,43434.25,720.4484067
McCloud,CDEC,MSS,65,C,1,10,stdev,6463.633831,99.35952396
McCloud,CDEC,MSS,65,C,2,11,stdev,8849.600735,147.4961071
McCloud,CDEC,MSS,65,C,3,12,stdev,32926.62928,537.7665405
McCloud,CDEC,MSS,65,C,4,1,stdev,22819.79961,367.1488621
McCloud,CDEC,MSS,65,C,5,2,stdev,30291.01051,537.6701686
McCloud,CDEC,MSS,65,C,6,3,stdev,30617.02751,501.0559286
McCloud,CDEC,MSS,65,C,7,4,stdev,21387.27843,350.3857569
McCloud,CDEC,MSS,65,C,8,5,stdev,17846.78146,284.3829151
McCloud,CDEC,MSS,65,C,9,6,stdev,11438.92057,188.6124203
McCloud,CDEC,MSS,65,C,10,7,stdev,7139.862545,108.6976915
McCloud,CDEC,MSS,65,C,11,8,stdev,7769.356485,118.9798631
McCloud,CDEC,MSS,65,C,12,9,stdev,6607.937908,104.756879
McCloud,CDEC,MSS,65,C,1,10,count,16,16
McCloud,CDEC,MSS,65,C,2,11,count,16,16
McCloud,CDEC,MSS,65,C,3,12,count,16,16
McCloud,CDEC,MSS,65,C,4,1,count,16,16
McCloud,CDEC,MSS,65,C,5,2,count,16,16
McCloud,CDEC,MSS,65,C,6,3,count,16,16
McCloud,CDEC,MSS,65,C,7,4,count,16,16
McCloud,CDEC,MSS,65,C,8,5,count,16,16
McCloud,CDEC,MSS,65,C,9,6,count,16,16
McCloud,CDEC,MSS,65,C,10,7,count,16,16
McCloud,CDEC,MSS,65,C,11,8,count,16,16
McCloud,CDEC,MSS,65,C,12,9,count,16,16
McCloud,CDEC,MSS,65,C,1,10,median,44350,721.2836022
McCloud,CDEC,MSS,65,C,2,11,median,49379,818.7010708
McCloud,CDEC,MSS,65,C,3,12,median,57250,915.7333669
McCloud,CDEC,MSS,65,C,4,1,median,60750,988.0040323
McCloud,CDEC,MSS,65,C,5,2,median,66691,1179.544794
McCloud,CDEC,MSS,65,C,6,3,median,82446.5,1319.639987
McCloud,CDEC,MSS,65,C,7,4,median,74861.5,1258.089097
McCloud,CDEC,MSS,65,C,8,5,median,63213,1010.707796
McCloud,CDEC,MSS,65,C,9,6,median,50925.5,855.8313194
McCloud,CDEC,MSS,65,C,10,7,median,47042,752.6811912
McCloud,CDEC,MSS,65,C,11,8,median,43932.5,703.9061156
McCloud,CDEC,MSS,65,C,12,9,median,42886.5,710.4955197
McCloud,CDEC,MSS,65,C,1,10,p10,36081.2,581.3166183
McCloud,CDEC,MSS,65,C,2,11,p10,37242.4,625.8792223
McCloud,CDEC,MSS,65,C,3,12,p10,38717.2,629.6748925
McCloud,CDEC,MSS,65,C,4,1,p10,40355,650.2244107
McCloud,CDEC,MSS,65,C,5,2,p10,43679.3,786.4873959
McCloud,CDEC,MSS,65,C,6,3,p10,54939,873.4321573
McCloud,CDEC,MSS,65,C,7,4,p10,51017,837.2565726
McCloud,CDEC,MSS,65,C,8,5,p10,49170,790.8860467
McCloud,CDEC,MSS,65,C,9,6,p10,42328.1,699.9063392
McCloud,CDEC,MSS,65,C,10,7,p10,39502.1,642.4400672
McCloud,CDEC,MSS,65,C,11,8,p10,34959,555.9340121
McCloud,CDEC,MSS,65,C,12,9,p10,34285.2,570.6441317
McCloud,CDEC,MSS,65,C,1,10,p90,54630,860.7070313
McCloud,CDEC,MSS,65,C,2,11,p90,63589,1045.614019
McCloud,CDEC,MSS,65,C,3,12,p90,127647.1,2075.981062
McCloud,CDEC,MSS,65,C,4,1,p90,105163.6,1676.543026
McCloud,CDEC,MSS,65,C,5,2,p90,126881.5,2284.622247
McCloud,CDEC,MSS,65,C,6,3,p90,140108.1,2278.639799
McCloud,CDEC,MSS,65,C,7,4,p90,118600,1961.045699
McCloud,CDEC,MSS,65,C,8,5,p90,101221,1630.33422
McCloud,CDEC,MSS,65,C,9,6,p90,74625.6,1230.661076
McCloud,CDEC,MSS,65,C,10,7,p90,59917.4,944.0111198
McCloud,CDEC,MSS,65,C,11,8,p90,58059.3,914.7363672
McCloud,CDEC,MSS,65,C,12,9,p90,53375.3,868.066035
McCloud,CDEC,MSS,65,D,1,10,mean,56739,918.2032444
McCloud,CDEC,MSS,65,D,2,11,mean,68554.29167,1135.211031
McCloud,CDEC,MSS,65,D,3,12,mean,89473.125,1436.368186
McCloud,CDEC,MSS,65,D,4,1,mean,81429.83333,1314.961664
McCloud,CDEC,MSS,65,D,5,2,mean,106791.5417,1910.610676
McCloud,CDEC,MSS,65,D,6,3,mean,130117.2083,2105.272307
McCloud,CDEC,MSS,65,D,7,4,mean,106380.5,1777.46181
McCloud,CDEC,MSS,65,D,8,5,mean,88447.45833,1429.307862
McCloud,CDEC,MSS,65,D,9,6,mean,66817.04167,1115.638771
McCloud,CDEC,MSS,65,D,10,7,mean,58391.58333,943.8447244
McCloud,CDEC,MSS,65,D,11,8,mean,54215.25,876.3611225
McCloud,CDEC,MSS,65,D,12,9,mean,51836.58333,865.7689369
McCloud,CDEC,MSS,65,D,1,10,stdev,8123.155567,134.9420757
McCloud,CDEC,MSS,65,D,2,11,stdev,19946.23686,324.3826522
McCloud,CDEC,MSS,65,D,3,12,stdev,39313.30054,629.019186
McCloud,CDEC,MSS,65,D,4,1,stdev,25981.44877,419.3295014
McCloud,CDEC,MSS,65,D,5,2,stdev,51793.09836,933.5339022
McCloud,CDEC,MSS,65,D,6,3,stdev,45976.37013,752.3431886
McCloud,CDEC,MSS,65,D,7,4,stdev,32080.18,544.0591811
McCloud,CDEC,MSS,65,D,8,5,stdev,24577.11182,400.3304175
McCloud,CDEC,MSS,65,D,9,6,stdev,13499.3293,227.7290769
McCloud,CDEC,MSS,65,D,10,7,stdev,8001.250549,132.1610268
McCloud,CDEC,MSS,65,D,11,8,stdev,8133.901792,134.021622
McCloud,CDEC,MSS,65,D,12,9,stdev,7137.573177,122.5216346
McCloud,CDEC,MSS,65,D,1,10,count,23,23
McCloud,CDEC,MSS,65,D,2,11,count,24,24
McCloud,CDEC,MSS,65,D,3,12,count,24,24
McCloud,CDEC,MSS,65,D,4,1,count,24,24
McCloud,CDEC,MSS,65,D,5,2,count,24,24
McCloud,CDEC,MSS,65,D,6,3,count,24,24
McCloud,CDEC,MSS,65,D,7,4,count,24,24
McCloud,CDEC,MSS,65,D,8,5,count,24,24
McCloud,CDEC,MSS,65,D,9,6,count,24,24
McCloud,CDEC,MSS,65,D,10,7,count,24,24
McCloud,CDEC,MSS,65,D,11,8,count,24,24
McCloud,CDEC,MSS,65,D,12,9,count,24,24
McCloud,CDEC,MSS,65,D,1,10,median,56100,912.3790323
McCloud,CDEC,MSS,65,D,2,11,median,63902.5,1073.917014
McCloud,CDEC,MSS,65,D,3,12,median,78690,1279.770161
McCloud,CDEC,MSS,65,D,4,1,median,77415,1238.781208
McCloud,CDEC,MSS,65,D,5,2,median,92305,1662.039435
McCloud,CDEC,MSS,65,D,6,3,median,127577,2074.840995
McCloud,CDEC,MSS,65,D,7,4,median,96100,1610.997362
McCloud,CDEC,MSS,65,D,8,5,median,77455,1256.537836
McCloud,CDEC,MSS,65,D,9,6,median,63471,1049.498813
McCloud,CDEC,MSS,65,D,10,7,median,59004,944.3870086
McCloud,CDEC,MSS,65,D,11,8,median,55665,891.0231015
McCloud,CDEC,MSS,65,D,12,9,median,51190,859.6719311
McCloud,CDEC,MSS,65,D,1,10,p10,48620.6,790.7382527
McCloud,CDEC,MSS,65,D,2,11,p10,45700,766.3062276
McCloud,CDEC,MSS,65,D,3,12,p10,55175,884.2305738
McCloud,CDEC,MSS,65,D,4,1,p10,53421,868.8092742
McCloud,CDEC,MSS,65,D,5,2,p10,68410,1210.552597
McCloud,CDEC,MSS,65,D,6,3,p10,78860,1262.76216
McCloud,CDEC,MSS,65,D,7,4,p10,80974,1316.915861
McCloud,CDEC,MSS,65,D,8,5,p10,67648,1100.189248
McCloud,CDEC,MSS,65,D,9,6,p10,53388,897.215
McCloud,CDEC,MSS,65,D,10,7,p10,48156.5,771.3993952
McCloud,CDEC,MSS,65,D,11,8,p10,40389,646.1404066
McCloud,CDEC,MSS,65,D,12,9,p10,41973,694.6457124
McCloud,CDEC,MSS,65,D,1,10,p90,68120,1107.865591
McCloud,CDEC,MSS,65,D,2,11,p90,106245,1756.505825
McCloud,CDEC,MSS,65,D,3,12,p90,160750,2580.677714
McCloud,CDEC,MSS,65,D,4,1,p90,134050,2150.357233
McCloud,CDEC,MSS,65,D,5,2,p90,185450,3339.203869
McCloud,CDEC,MSS,65,D,6,3,p90,204455,3325.141801
McCloud,CDEC,MSS,65,D,7,4,p90,146500,2462.013889
McCloud,CDEC,MSS,65,D,8,5,p90,136575,2221.179436
McCloud,CDEC,MSS,65,D,9,6,p90,89550,1504.9375
McCloud,CDEC,MSS,65,D,10,7,p90,67445,1094.301882
McCloud,CDEC,MSS,65,D,11,8,p90,62210,1011.748656
McCloud,CDEC,MSS,65,D,12,9,p90,60300,1013.375
McCloud,CDEC,MSS,65,BN,1,10,mean,68678.13636,1102.429213
McCloud,CDEC,MSS,65,BN,2,11,mean,67376.5,1129.64882
McCloud,CDEC,MSS,65,BN,3,12,mean,80613.22727,1307.899261
McCloud,CDEC,MSS,65,BN,4,1,mean,114495.3182,1836.36501
McCloud,CDEC,MSS,65,BN,5,2,mean,128094.5,2271.011469
McCloud,CDEC,MSS,65,BN,6,3,mean,143902.2727,2306.85739
McCloud,CDEC,MSS,65,BN,7,4,mean,141854.2727,2353.748434
McCloud,CDEC,MSS,65,BN,8,5,mean,110121.5909,1767.210526
McCloud,CDEC,MSS,65,BN,9,6,mean,78767.86364,1305.519131
McCloud,CDEC,MSS,65,BN,10,7,mean,65582.31818,1052.492272
McCloud,CDEC,MSS,65,BN,11,8,mean,60103.77273,964.5245212
McCloud,CDEC,MSS,65,BN,12,9,mean,56494.81818,936.4586335
McCloud,CDEC,MSS,65,BN,1,10,stdev,21428.36448,344.6093908
McCloud,CDEC,MSS,65,BN,2,11,stdev,16226.49949,274.7406966
McCloud,CDEC,MSS,65,BN,3,12,stdev,39075.82286,635.9356695
McCloud,CDEC,MSS,65,BN,4,1,stdev,40886.05235,653.7710941
McCloud,CDEC,MSS,65,BN,5,2,stdev,60304.12105,1060.384636
McCloud,CDEC,MSS,65,BN,6,3,stdev,48456.29461,758.3401691
McCloud,CDEC,MSS,65,BN,7,4,stdev,33501.62562,562.8952982
McCloud,CDEC,MSS,65,BN,8,5,stdev,24925.64466,393.141276
McCloud,CDEC,MSS,65,BN,9,6,stdev,15374.39425,252.7425879
McCloud,CDEC,MSS,65,BN,10,7,stdev,8991.683864,142.1936641
McCloud,CDEC,MSS,65,BN,11,8,stdev,8530.470422,134.4717629
McCloud,CDEC,MSS,65,BN,12,9,stdev,8371.39219,136.7156091
McCloud,CDEC,MSS,65,BN,1,10,count,22,22
McCloud,CDEC,MSS,65,BN,2,11,count,22,22
McCloud,CDEC,MSS,65,BN,3,12,count,22,22
McCloud,CDEC,MSS,65,BN,4,1,count,22,22
McCloud,CDEC,MSS,65,BN,5,2,count,22,22
McCloud,CDEC,MSS,65,BN,6,3,count,22,22
McCloud,CDEC,MSS,65,BN,7,4,count,22,22
McCloud,CDEC,MSS,65,BN,8,5,count,22,22
McCloud,CDEC,MSS,65,BN,9,6,count,22,22
McCloud,CDEC,MSS,65,BN,10,7,count,22,22
McCloud,CDEC,MSS,65,BN,11,8,count,22,22
McCloud,CDEC,MSS,65,BN,12,9,count,22,22
McCloud,CDEC,MSS,65,BN,1,10,median,62637,994.2537679
McCloud,CDEC,MSS,65,BN,2,11,median,65200,1093.201389
McCloud,CDEC,MSS,65,BN,3,12,median,74990,1219.59543
McCloud,CDEC,MSS,65,BN,4,1,median,112738,1804.976638
McCloud,CDEC,MSS,65,BN,5,2,median,103705,1805.220905
McCloud,CDEC,MSS,65,BN,6,3,median,139150,2227.710224
McCloud,CDEC,MSS,65,BN,7,4,median,134700,2263.708334
McCloud,CDEC,MSS,65,BN,8,5,median,105700,1719.045699
McCloud,CDEC,MSS,65,BN,9,6,median,77054.5,1257.92294
McCloud,CDEC,MSS,65,BN,10,7,median,66005,1073.468414
McCloud,CDEC,MSS,65,BN,11,8,median,61450,983.6332326
McCloud,CDEC,MSS,65,BN,12,9,median,56845,944.5687187
McCloud,CDEC,MSS,65,BN,1,10,p10,46317,753.2737904
McCloud,CDEC,MSS,65,BN,2,11,p10,43639.9,733.3927639
McCloud,CDEC,MSS,65,BN,3,12,p10,50125,815.2049731
McCloud,CDEC,MSS,65,BN,4,1,p10,63819.1,1027.163399
McCloud,CDEC,MSS,65,BN,5,2,p10,62701,1108.446429
McCloud,CDEC,MSS,65,BN,6,3,p10,94190,1491.261979
McCloud,CDEC,MSS,65,BN,7,4,p10,101850,1656.431451
McCloud,CDEC,MSS,65,BN,8,5,p10,80464.6,1295.784162
McCloud,CDEC,MSS,65,BN,9,6,p10,64610.8,1075.057894
McCloud,CDEC,MSS,65,BN,10,7,p10,53955,869.0593246
McCloud,CDEC,MSS,65,BN,11,8,p10,47470,772.0255376
McCloud,CDEC,MSS,65,BN,12,9,p10,43788,735.8816667
McCloud,CDEC,MSS,65,BN,1,10,p90,115520,1850.657594
McCloud,CDEC,MSS,65,BN,2,11,p90,94895.7,1594.774958
McCloud,CDEC,MSS,65,BN,3,12,p90,119272.3,1939.777997
McCloud,CDEC,MSS,65,BN,4,1,p90,180476,2908.587104
McCloud,CDEC,MSS,65,BN,5,2,p90,237100,4163.162459
McCloud,CDEC,MSS,65,BN,6,3,p90,182669.6,2943.066614
McCloud,CDEC,MSS,65,BN,7,4,p90,192490,3204.927868
McCloud,CDEC,MSS,65,BN,8,5,p90,152833.3,2429.633853
McCloud,CDEC,MSS,65,BN,9,6,p90,104100,1693.024193
McCloud,CDEC,MSS,65,BN,10,7,p90,79520,1263.953965
McCloud,CDEC,MSS,65,BN,11,8,p90,74760.1,1188.933762
McCloud,CDEC,MSS,65,BN,12,9,p90,71365.6,1189.605646
McCloud,CDEC,MSS,65,AN,1,10,mean,61597.66667,993.9547575
McCloud,CDEC,MSS,65,AN,2,11,mean,78971.53333,1308.086402
McCloud,CDEC,MSS,65,AN,3,12,mean,104903.6667,1684.955054
McCloud,CDEC,MSS,65,AN,4,1,mean,159536.4,2571.613251
McCloud,CDEC,MSS,65,AN,5,2,mean,188519.0667,3350.6665
McCloud,CDEC,MSS,65,AN,6,3,mean,187937.2667,3026.920306
McCloud,CDEC,MSS,65,AN,7,4,mean,152866.6,2545.542234
McCloud,CDEC,MSS,65,AN,8,5,mean,124106,2004.915585
McCloud,CDEC,MSS,65,AN,9,6,mean,83926.26667,1399.931727
McCloud,CDEC,MSS,65,AN,10,7,mean,70256.73333,1133.757802
McCloud,CDEC,MSS,65,AN,11,8,mean,63449.26667,1023.789599
McCloud,CDEC,MSS,65,AN,12,9,mean,59670.46667,994.5604758
McCloud,CDEC,MSS,65,AN,1,10,stdev,7662.877375,128.969129
McCloud,CDEC,MSS,65,AN,2,11,stdev,41478.70246,677.2636404
McCloud,CDEC,MSS,65,AN,3,12,stdev,50629.3357,815.23983
McCloud,CDEC,MSS,65,AN,4,1,stdev,77682.81851,1255.826373
McCloud,CDEC,MSS,65,AN,5,2,stdev,77426.17792,1328.004212
McCloud,CDEC,MSS,65,AN,6,3,stdev,58918.24198,931.6406033
McCloud,CDEC,MSS,65,AN,7,4,stdev,35675.39714,586.3736245
McCloud,CDEC,MSS,65,AN,8,5,stdev,26034.30807,437.1054178
McCloud,CDEC,MSS,65,AN,9,6,stdev,11725.20072,207.9135238
McCloud,CDEC,MSS,65,AN,10,7,stdev,6531.610548,113.6538784
McCloud,CDEC,MSS,65,AN,11,8,stdev,5698.415964,98.52057718
McCloud,CDEC,MSS,65,AN,12,9,stdev,5895.139267,103.3569533
McCloud,CDEC,MSS,65,AN,1,10,count,15,15
McCloud,CDEC,MSS,65,AN,2,11,count,15,15
McCloud,CDEC,MSS,65,AN,3,12,count,15,15
McCloud,CDEC,MSS,65,AN,4,1,count,15,15
McCloud,CDEC,MSS,65,AN,5,2,count,15,15
McCloud,CDEC,MSS,65,AN,6,3,count,15,15
McCloud,CDEC,MSS,65,AN,7,4,count,15,15
McCloud,CDEC,MSS,65,AN,8,5,count,15,15
McCloud,CDEC,MSS,65,AN,9,6,count,15,15
McCloud,CDEC,MSS,65,AN,10,7,count,15,15
McCloud,CDEC,MSS,65,AN,11,8,count,15,15
McCloud,CDEC,MSS,65,AN,12,9,count,15,15
McCloud,CDEC,MSS,65,AN,1,10,median,62700,995.5716146
McCloud,CDEC,MSS,65,AN,2,11,median,65700,1068.508065
McCloud,CDEC,MSS,65,AN,3,12,median,86470,1406.299731
McCloud,CDEC,MSS,65,AN,4,1,median,150800,2452.526882
McCloud,CDEC,MSS,65,AN,5,2,median,185000,3331.10119
McCloud,CDEC,MSS,65,AN,6,3,median,179350,2826.83099
McCloud,CDEC,MSS,65,AN,7,4,median,150437,2528.177361
McCloud,CDEC,MSS,65,AN,8,5,median,117800,1915.833333
McCloud,CDEC,MSS,65,AN,9,6,median,80130,1346.629167
McCloud,CDEC,MSS,65,AN,10,7,median,70998,1118.588281
McCloud,CDEC,MSS,65,AN,11,8,median,64431,1015.123828
McCloud,CDEC,MSS,65,AN,12,9,median,61300,1028.402419
McCloud,CDEC,MSS,65,AN,1,10,p10,50441.6,810.189328
McCloud,CDEC,MSS,65,AN,2,11,p10,43026,715.4482796
McCloud,CDEC,MSS,65,AN,3,12,p10,60620.2,970.8454923
McCloud,CDEC,MSS,65,AN,4,1,p10,73660,1197.965054
McCloud,CDEC,MSS,65,AN,5,2,p10,101965,1835.976935
McCloud,CDEC,MSS,65,AN,6,3,p10,121480,1975.682796
McCloud,CDEC,MSS,65,AN,7,4,p10,105920,1757.297312
McCloud,CDEC,MSS,65,AN,8,5,p10,93344,1470.654167
McCloud,CDEC,MSS,65,AN,9,6,p10,67088,1091.08172
McCloud,CDEC,MSS,65,AN,10,7,p10,61080,967.0546875
McCloud,CDEC,MSS,65,AN,11,8,p10,54802.6,880.4575571
McCloud,CDEC,MSS,65,AN,12,9,p10,49603.2,822.921
McCloud,CDEC,MSS,65,AN,1,10,p90,73360,1193.086022
McCloud,CDEC,MSS,65,AN,2,11,p90,157560,2604.297312
McCloud,CDEC,MSS,65,AN,3,12,p90,198830.6,3218.541452
McCloud,CDEC,MSS,65,AN,4,1,p90,300412,4885.732796
McCloud,CDEC,MSS,65,AN,5,2,p90,314475.2,5467.169426
McCloud,CDEC,MSS,65,AN,6,3,p90,288505,4625.34291
McCloud,CDEC,MSS,65,AN,7,4,p90,223980,3691.605914
McCloud,CDEC,MSS,65,AN,8,5,p90,171848.4,2794.84629
McCloud,CDEC,MSS,65,AN,9,6,p90,99142.8,1666.149833
McCloud,CDEC,MSS,65,AN,10,7,p90,79470.4,1292.46215
McCloud,CDEC,MSS,65,AN,11,8,p90,71293,1159.469489
McCloud,CDEC,MSS,65,AN,12,9,p90,67542,1135.080833
McCloud,CDEC,MSS,65,W,1,10,mean,71129.71795,1152.290483
McCloud,CDEC,MSS,65,W,2,11,mean,95432.07895,1595.752611
McCloud,CDEC,MSS,65,W,3,12,mean,163563.8421,2641.751495
McCloud,CDEC,MSS,65,W,4,1,mean,209345.9211,3394.105504
McCloud,CDEC,MSS,65,W,5,2,mean,223406.2368,4004.7281
McCloud,CDEC,MSS,65,W,6,3,mean,213909,3466.609515
McCloud,CDEC,MSS,65,W,7,4,mean,206997.8421,3467.770765
McCloud,CDEC,MSS,65,W,8,5,mean,163106.2632,2643.026102
McCloud,CDEC,MSS,65,W,9,6,mean,110776.3947,1854.894705
McCloud,CDEC,MSS,65,W,10,7,mean,89226.31579,1445.570618
McCloud,CDEC,MSS,65,W,11,8,mean,79564.89474,1289.03306
McCloud,CDEC,MSS,65,W,12,9,mean,72229.34211,1209.012995
McCloud,CDEC,MSS,65,W,1,10,stdev,12197.77263,198.9233856
McCloud,CDEC,MSS,65,W,2,11,stdev,50996.15886,858.0626703
McCloud,CDEC,MSS,65,W,3,12,stdev,74783.92681,1200.92427
McCloud,CDEC,MSS,65,W,4,1,stdev,99234.28574,1616.877719
McCloud,CDEC,MSS,65,W,5,2,stdev,101332.3954,1820.49605
McCloud,CDEC,MSS,65,W,6,3,stdev,77755.16356,1266.770505
McCloud,CDEC,MSS,65,W,7,4,stdev,64879.25144,1098.420577
McCloud,CDEC,MSS,65,W,8,5,stdev,46572.96924,761.158967
McCloud,CDEC,MSS,65,W,9,6,stdev,23430.48879,398.4744104
McCloud,CDEC,MSS,65,W,10,7,stdev,15334.7224,251.4779313
McCloud,CDEC,MSS,65,W,11,8,stdev,12394.23904,203.7297257
McCloud,CDEC,MSS,65,W,12,9,stdev,11094.45363,188.3614245
McCloud,CDEC,MSS,65,W,1,10,count,39,39
McCloud,CDEC,MSS,65,W,2,11,count,38,38
McCloud,CDEC,MSS,65,W,3,12,count,38,38
McCloud,CDEC,MSS,65,W,4,1,count,38,38
McCloud,CDEC,MSS,65,W,5,2,count,38,38
McCloud,CDEC,MSS,65,W,6,3,count,38,38
McCloud,CDEC,MSS,65,W,7,4,count,38,38
McCloud,CDEC,MSS,65,W,8,5,count,38,38
McCloud,CDEC,MSS,65,W,9,6,count,38,38
McCloud,CDEC,MSS,65,W,10,7,count,38,38
McCloud,CDEC,MSS,65,W,11,8,count,38,38
McCloud,CDEC,MSS,65,W,12,9,count,38,38
McCloud,CDEC,MSS,65,W,1,10,median,70800,1145.759409
McCloud,CDEC,MSS,65,W,2,11,median,79915,1322.746304
McCloud,CDEC,MSS,65,W,3,12,median,154970,2520.34543
McCloud,CDEC,MSS,65,W,4,1,median,185400,3015.241936
McCloud,CDEC,MSS,65,W,5,2,median,186420,3356.669643
McCloud,CDEC,MSS,65,W,6,3,median,204785,3330.508737
McCloud,CDEC,MSS,65,W,7,4,median,208400,3495.555556
McCloud,CDEC,MSS,65,W,8,5,median,159900,2600.524194
McCloud,CDEC,MSS,65,W,9,6,median,106653,1792.362917
McCloud,CDEC,MSS,65,W,10,7,median,84163,1368.779974
McCloud,CDEC,MSS,65,W,11,8,median,79700,1296.196237
McCloud,CDEC,MSS,65,W,12,9,median,69370,1165.801389
McCloud,CDEC,MSS,65,W,1,10,p10,57200,913.2664063
McCloud,CDEC,MSS,65,W,2,11,p10,56678.4,952.512
McCloud,CDEC,MSS,65,W,3,12,p10,78770.2,1281.07449
McCloud,CDEC,MSS,65,W,4,1,p10,97295.2,1579.869677
McCloud,CDEC,MSS,65,W,5,2,p10,108268.5,1929.857797
McCloud,CDEC,MSS,65,W,6,3,p10,122720,1995.849463
McCloud,CDEC,MSS,65,W,7,4,p10,112148,1829.439767
McCloud,CDEC,MSS,65,W,8,5,p10,101330,1601.090012
McCloud,CDEC,MSS,65,W,9,6,p10,81721.1,1333.321877
McCloud,CDEC,MSS,65,W,10,7,p10,72580.8,1176.825021
McCloud,CDEC,MSS,65,W,11,8,p10,64386.7,1045.789664
McCloud,CDEC,MSS,65,W,12,9,p10,59366.2,997.6819723
McCloud,CDEC,MSS,65,W,1,10,p90,85500,1379.139785
McCloud,CDEC,MSS,65,W,2,11,p90,162332,2728.079444
McCloud,CDEC,MSS,65,W,3,12,p90,261640,4228.723328
McCloud,CDEC,MSS,65,W,4,1,p90,350951.7,5707.682218
McCloud,CDEC,MSS,65,W,5,2,p90,367573,6618.501935
McCloud,CDEC,MSS,65,W,6,3,p90,317855,5169.415995
McCloud,CDEC,MSS,65,W,7,4,p90,298640,5018.811111
McCloud,CDEC,MSS,65,W,8,5,p90,221900,3608.857527
McCloud,CDEC,MSS,65,W,9,6,p90,143830,2417.143055
McCloud,CDEC,MSS,65,W,10,7,p90,105860,1721.64785
McCloud,CDEC,MSS,65,W,11,8,p90,91910,1494.77285
McCloud,CDEC,MSS,65,W,12,9,p90,84380,1418.052778
Sacramento Headwaters,CDEC,SIS,65,C,1,10,mean,213718.8667,3455.815702
Sacramento Headwaters,CDEC,SIS,65,C,2,11,mean,207058,3456.391022
Sacramento Headwaters,CDEC,SIS,65,C,3,12,mean,315802,5113.053346
Sacramento Headwaters,CDEC,SIS,65,C,4,1,mean,323447.8667,5195.205543
Sacramento Headwaters,CDEC,SIS,65,C,5,2,mean,392054.2,6958.638639
Sacramento Headwaters,CDEC,SIS,65,C,6,3,mean,447024.4,7197.773975
Sacramento Headwaters,CDEC,SIS,65,C,7,4,mean,324757.2,5394.739968
Sacramento Headwaters,CDEC,SIS,65,C,8,5,mean,296679.0667,4773.826668
Sacramento Headwaters,CDEC,SIS,65,C,9,6,mean,215499.5333,3581.986672
Sacramento Headwaters,CDEC,SIS,65,C,10,7,mean,178000.1333,2863.09914
Sacramento Headwaters,CDEC,SIS,65,C,11,8,mean,172255.4667,2770.176853
Sacramento Headwaters,CDEC,SIS,65,C,12,9,mean,172013.9333,2857.370655
Sacramento Headwaters,CDEC,SIS,65,C,1,10,stdev,48879.84344,801.6927877
Sacramento Headwaters,CDEC,SIS,65,C,2,11,stdev,33293.95381,553.1501798
Sacramento Headwaters,CDEC,SIS,65,C,3,12,stdev,213570.8043,3483.66373
Sacramento Headwaters,CDEC,SIS,65,C,4,1,stdev,135052.1764,2128.226434
Sacramento Headwaters,CDEC,SIS,65,C,5,2,stdev,177041.259,3096.939955
Sacramento Headwaters,CDEC,SIS,65,C,6,3,stdev,156152.3173,2533.35635
Sacramento Headwaters,CDEC,SIS,65,C,7,4,stdev,89658.40124,1476.86595
Sacramento Headwaters,CDEC,SIS,65,C,8,5,stdev,93729.64958,1513.10121
Sacramento Headwaters,CDEC,SIS,65,C,9,6,stdev,51046.74699,852.8851953
Sacramento Headwaters,CDEC,SIS,65,C,10,7,stdev,19873.95961,307.3367904
Sacramento Headwaters,CDEC,SIS,65,C,11,8,stdev,26494.55579,409.8895856
Sacramento Headwaters,CDEC,SIS,65,C,12,9,stdev,27342.5591,440.7345113
Sacramento Headwaters,CDEC,SIS,65,C,1,10,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,2,11,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,3,12,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,4,1,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,5,2,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,6,3,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,7,4,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,8,5,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,9,6,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,10,7,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,11,8,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,12,9,count,15,15
Sacramento Headwaters,CDEC,SIS,65,C,1,10,median,198290,3224.877688
