huc8_name,source_author,source_gage,source_sensor,wy,wy_mo,cy,cy_mo,mo_days,wy_type,af,cfs
Navarro,CNRFC,NVRC1,NA,2013,1,2012,10,31,NA,340,5.53
Navarro,CNRFC,NVRC1,NA,2013,2,2012,11,30,NA,7730,129.91
Navarro,CNRFC,NVRC1,NA,2013,3,2012,12,31,NA,160830,2615.65
Navarro,CNRFC,NVRC1,NA,2013,4,2013,1,31,NA,19610,318.93
Navarro,CNRFC,NVRC1,NA,2013,5,2013,2,28,NA,5530,99.57
Navarro,CNRFC,NVRC1,NA,2013,6,2013,3,31,NA,6300,102.46
Navarro,CNRFC,NVRC1,NA,2013,7,2013,4,30,NA,5070,85.2
Navarro,CNRFC,NVRC1,NA,2013,8,2013,5,31,NA,1620,26.35
Navarro,CNRFC,NVRC1,NA,2013,9,2013,6,30,NA,800,13.44
Navarro,CNRFC,NVRC1,NA,2013,10,2013,7,31,NA,320,5.2
Navarro,CNRFC,NVRC1,NA,2013,11,2013,8,31,NA,0,0
Navarro,CNRFC,NVRC1,NA,2013,12,2013,9,30,NA,40,0.67
Navarro,CNRFC,NVRC1,NA,2014,1,2013,10,31,NA,250,4.07
Navarro,CNRFC,NVRC1,NA,2014,2,2013,11,30,NA,390,6.55
Navarro,CNRFC,NVRC1,NA,2014,3,2013,12,31,NA,370,6.02
Navarro,CNRFC,NVRC1,NA,2014,4,2014,1,31,NA,520,8.46
Navarro,CNRFC,NVRC1,NA,2014,5,2014,2,28,NA,10590,190.68
Navarro,CNRFC,NVRC1,NA,2014,6,2014,3,31,NA,27200,442.37
Navarro,CNRFC,NVRC1,NA,2014,7,2014,4,30,NA,17830,299.64
Navarro,CNRFC,NVRC1,NA,2014,8,2014,5,31,NA,1310,21.31
Navarro,CNRFC,NVRC1,NA,2014,9,2014,6,30,NA,440,7.39
Navarro,CNRFC,NVRC1,NA,2014,10,2014,7,31,NA,70,1.14
Navarro,CNRFC,NVRC1,NA,2014,11,2014,8,31,NA,0,0
Navarro,CNRFC,NVRC1,NA,2014,12,2014,9,30,NA,0,0
Navarro,CNRFC,NVRC1,NA,2015,1,2014,10,31,NA,80,1.3
Navarro,CNRFC,NVRC1,NA,2015,2,2014,11,30,NA,1980,33.28
Navarro,CNRFC,NVRC1,NA,2015,3,2014,12,31,NA,101180,1645.53
Navarro,CNRFC,NVRC1,NA,2015,4,2015,1,31,NA,6600,107.34
Navarro,CNRFC,NVRC1,NA,2015,5,2015,2,28,NA,78840,1419.59
Navarro,CNRFC,NVRC1,NA,2015,6,2015,3,31,NA,4670,75.95
Navarro,CNRFC,NVRC1,NA,2015,7,2015,4,30,NA,2130,35.8
Navarro,CNRFC,NVRC1,NA,2015,8,2015,5,31,NA,1510,24.56
Navarro,CNRFC,NVRC1,NA,2015,9,2015,6,30,NA,570,9.58
Navarro,CNRFC,NVRC1,NA,2015,10,2015,7,31,NA,310,5.04
Navarro,CNRFC,NVRC1,NA,2015,11,2015,8,31,NA,240,3.9
Navarro,CNRFC,NVRC1,NA,2015,12,2015,9,30,NA,0,0
Navarro,CNRFC,NVRC1,NA,2016,1,2015,10,31,NA,0,0
Navarro,CNRFC,NVRC1,NA,2016,2,2015,11,30,NA,190,3.19
Navarro,CNRFC,NVRC1,NA,2016,3,2015,12,31,NA,47070,765.52
Navarro,CNRFC,NVRC1,NA,2016,4,2016,1,31,NA,134250,2183.37
Navarro,CNRFC,NVRC1,NA,2016,5,2016,2,29,NA,23860,414.81
Navarro,CNRFC,NVRC1,NA,2016,6,2016,3,31,NA,142000,2309.41
Navarro,CNRFC,NVRC1,NA,2016,7,2016,4,30,NA,10470,175.95
Navarro,CNRFC,NVRC1,NA,2016,8,2016,5,31,NA,4380,71.23
Navarro,CNRFC,NVRC1,NA,2016,9,2016,6,30,NA,2230,37.48
Navarro,CNRFC,NVRC1,NA,2016,10,2016,7,31,NA,830,13.5
Navarro,CNRFC,NVRC1,NA,2016,11,2016,8,31,NA,2150,34.97
Navarro,CNRFC,NVRC1,NA,2016,12,2016,9,30,NA,300,5.04
Navarro,CNRFC,NVRC1,NA,2017,1,2016,10,31,NA,1350,21.96
Navarro,CNRFC,NVRC1,NA,2017,2,2016,11,30,NA,18590,312.42
Navarro,CNRFC,NVRC1,NA,2017,3,2016,12,31,NA,72110,1172.76
Navarro,CNRFC,NVRC1,NA,2017,4,2017,1,31,NA,260210,4231.91
Navarro,CNRFC,NVRC1,NA,2017,5,2017,2,28,NA,226360,4075.83
Navarro,CNRFC,NVRC1,NA,2017,6,2017,3,31,NA,56880,925.06
Navarro,CNRFC,NVRC1,NA,2017,7,2017,4,30,NA,49770,836.41
Navarro,CNRFC,NVRC1,NA,2017,8,2017,5,31,NA,10030,163.12
Navarro,CNRFC,NVRC1,NA,2017,9,2017,6,30,NA,3180,53.44
Navarro,CNRFC,NVRC1,NA,2017,10,2017,7,31,NA,1640,26.67
Navarro,CNRFC,NVRC1,NA,2017,11,2017,8,31,NA,930,15.13
Navarro,CNRFC,NVRC1,NA,2017,12,2017,9,30,NA,900,15.13
Navarro,CNRFC,NVRC1,NA,2018,1,2017,10,31,NA,860,13.99
Navarro,CNRFC,NVRC1,NA,2018,2,2017,11,30,NA,3410,57.31
Navarro,CNRFC,NVRC1,NA,2018,3,2017,12,31,NA,1900,30.9
Navarro,CNRFC,NVRC1,NA,2018,4,2018,1,31,NA,24520,398.78
Navarro,CNRFC,NVRC1,NA,2018,5,2018,2,28,NA,4090,73.64
Navarro,CNRFC,NVRC1,NA,2018,6,2018,3,31,NA,36270,589.88
Navarro,CNRFC,NVRC1,NA,2018,7,2018,4,30,NA,44340,745.16
Navarro,CNRFC,NVRC1,NA,2018,8,2018,5,31,NA,5250,85.38
Navarro,CNRFC,NVRC1,NA,2018,9,2018,6,30,NA,1760,29.58
Navarro,CNRFC,NVRC1,NA,2018,10,2018,7,31,NA,820,13.34
Navarro,CNRFC,NVRC1,NA,2018,11,2018,8,31,NA,150,2.44
Navarro,CNRFC,NVRC1,NA,2018,12,2018,9,30,NA,250,4.2
Navarro,CNRFC,NVRC1,NA,2019,1,2018,10,31,NA,445.1,7.24
Navarro,CNRFC,NVRC1,NA,2019,2,2018,11,30,NA,1207.2,20.29
Navarro,CNRFC,NVRC1,NA,2019,3,2018,12,31,NA,9917,161.28
Navarro,CNRFC,NVRC1,NA,2019,4,2019,1,31,NA,82253.2,1337.72
Navarro,CNRFC,NVRC1,NA,2019,5,2019,2,28,NA,192802.2,3471.59
