huc8_name,s_scenario,rept_month,af_monthly
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",3,45000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",4,92000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",5,136000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",6,75000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",7,17000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",8,3000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",9,2000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",2,41000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",3,58000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",4,115000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",5,170000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",6,94000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",7,21000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",8,4000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",9,2000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",2,49000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",3,67000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",4,135000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",5,200000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",6,110000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",7,25000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",8,5000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",9,3000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",2,61000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",3,82000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",4,169000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",5,252000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",6,138000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",7,31000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",8,6000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 25% Probability Of Exceedance",9,5000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",2,61000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",3,82000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",4,169000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",5,252000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",6,138000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",7,31000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",8,6000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 10% Probability Of Exceedance",9,5000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",2,55000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",3,81000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",4,132000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",5,199000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",6,132000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",7,26000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",8,5000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 99% Probability Of Exceedance",9,2000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",2,67000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",3,105000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",4,188000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",5,286000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",6,188000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",7,38000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",8,7000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 90% Probability Of Exceedance",9,3000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",2,85000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",3,125000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",4,219000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",5,338000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",6,219000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",7,44000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",8,8000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 75% Probability Of Exceedance",9,4000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",2,104000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",3,153000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",4,250000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",5,380000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",6,250000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",7,50000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",8,10000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 50% Probability Of Exceedance",9,5000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",2,125000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",3,180000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",4,306000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",5,463000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",6,306000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",7,65000
