huc8_name,s_scenario,rept_month,af_monthly
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/2022)",3,19000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/2022)",3,28000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/2022)",3,41000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/2022)",3,59000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/2022)",3,90000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/2022)",3,111000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/2022)",4,33000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/2022)",4,62000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/2022)",4,88000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/2022)",4,114000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/2022)",4,139000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/2022)",4,164000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/2022)",5,40000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/2022)",5,79000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/2022)",5,116000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/2022)",5,157000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/2022)",5,213000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/2022)",5,268000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/2022)",6,17000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/2022)",6,36000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/2022)",6,50000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/2022)",6,64000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/2022)",6,123000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/2022)",6,184000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/2022)",7,5000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/2022)",7,8000
