huc8_name,s_scenario,rept_month,af_monthly
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 99% Probability Of Exceedance (3/1/21)",3,25000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 99% Probability Of Exceedance (3/1/21)",4,57000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 99% Probability Of Exceedance (3/1/21)",5,79000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 99% Probability Of Exceedance (3/1/21)",6,48000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 99% Probability Of Exceedance (3/1/21)",7,16000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 99% Probability Of Exceedance (3/1/21)",8,8000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 99% Probability Of Exceedance (3/1/21)",9,3000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 90% Probability Of Exceedance (3/1/21)",3,44000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 90% Probability Of Exceedance (3/1/21)",4,102000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 90% Probability Of Exceedance (3/1/21)",5,170000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 90% Probability Of Exceedance (3/1/21)",6,72000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 90% Probability Of Exceedance (3/1/21)",7,26000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 90% Probability Of Exceedance (3/1/21)",8,12000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 90% Probability Of Exceedance (3/1/21)",9,5000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 75% Probability Of Exceedance (3/1/21)",3,63000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 75% Probability Of Exceedance (3/1/21)",4,134000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 75% Probability Of Exceedance (3/1/21)",5,215000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 75% Probability Of Exceedance (3/1/21)",6,111000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 75% Probability Of Exceedance (3/1/21)",7,36000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 75% Probability Of Exceedance (3/1/21)",8,15000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 75% Probability Of Exceedance (3/1/21)",9,7000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 50% Probability Of Exceedance (3/1/21)",3,79000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 50% Probability Of Exceedance (3/1/21)",4,165000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 50% Probability Of Exceedance (3/1/21)",5,260000
