huc8_name,s_scenario,rept_month,af_monthly
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 50% Probability Of Exceedance (3/1/21)",6,150000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 50% Probability Of Exceedance (3/1/21)",7,45000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 50% Probability Of Exceedance (3/1/21)",8,17000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 50% Probability Of Exceedance (3/1/21)",9,10000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 25% Probability Of Exceedance (3/1/21)",3,101000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 25% Probability Of Exceedance (3/1/21)",4,185000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 25% Probability Of Exceedance (3/1/21)",5,300000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 25% Probability Of Exceedance (3/1/21)",6,215000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 25% Probability Of Exceedance (3/1/21)",7,70000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 25% Probability Of Exceedance (3/1/21)",8,23000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 25% Probability Of Exceedance (3/1/21)",9,12000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 10% Probability Of Exceedance (3/1/21)",3,119000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 10% Probability Of Exceedance (3/1/21)",4,205000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 10% Probability Of Exceedance (3/1/21)",5,345000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 10% Probability Of Exceedance (3/1/21)",6,275000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 10% Probability Of Exceedance (3/1/21)",7,95000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 10% Probability Of Exceedance (3/1/21)",8,29000
Upper San Joaquin,"Forecast: Unimpaired flow at MIL, 10% Probability Of Exceedance (3/1/21)",9,13000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/21)",3,22000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/21)",4,37000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/21)",5,45000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/21)",6,19000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/21)",7,4000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/21)",8,1000
Upper Merced,"Forecast: Unimpaired flow at MMF, 99% Probability Of Exceedance (3/1/21)",9,0
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/21)",3,37000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/21)",4,66000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/21)",5,86000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/21)",6,30000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/21)",7,8000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/21)",8,1000
Upper Merced,"Forecast: Unimpaired flow at MMF, 90% Probability Of Exceedance (3/1/21)",9,0
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/21)",3,45000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/21)",4,88000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/21)",5,117000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/21)",6,43000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/21)",7,12000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/21)",8,2000
Upper Merced,"Forecast: Unimpaired flow at MMF, 75% Probability Of Exceedance (3/1/21)",9,1000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/21)",3,57000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/21)",4,110000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/21)",5,150000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/21)",6,55000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/21)",7,15000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/21)",8,4000
Upper Merced,"Forecast: Unimpaired flow at MMF, 50% Probability Of Exceedance (3/1/21)",9,2000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/21)",3,74000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/21)",4,125000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/21)",5,189000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/21)",6,93000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/21)",7,23000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/21)",8,6000
Upper Merced,"Forecast: Unimpaired flow at MMF, 25% Probability Of Exceedance (3/1/21)",9,3000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/21)",3,86000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/21)",4,140000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/21)",5,230000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/21)",6,130000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/21)",7,30000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/21)",8,8000
Upper Merced,"Forecast: Unimpaired flow at MMF, 10% Probability Of Exceedance (3/1/21)",9,4000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 99% Probability Of Exceedance (3/1/21)",3,61000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 99% Probability Of Exceedance (3/1/21)",4,125000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 99% Probability Of Exceedance (3/1/21)",5,164000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 99% Probability Of Exceedance (3/1/21)",6,40000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 99% Probability Of Exceedance (3/1/21)",7,11000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 99% Probability Of Exceedance (3/1/21)",8,2000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 99% Probability Of Exceedance (3/1/21)",9,0
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 90% Probability Of Exceedance (3/1/21)",3,79000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 90% Probability Of Exceedance (3/1/21)",4,170000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 90% Probability Of Exceedance (3/1/21)",5,225000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 90% Probability Of Exceedance (3/1/21)",6,80000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 90% Probability Of Exceedance (3/1/21)",7,15000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 90% Probability Of Exceedance (3/1/21)",8,3000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 90% Probability Of Exceedance (3/1/21)",9,1000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 75% Probability Of Exceedance (3/1/21)",3,96000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 75% Probability Of Exceedance (3/1/21)",4,195000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 75% Probability Of Exceedance (3/1/21)",5,275000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 75% Probability Of Exceedance (3/1/21)",6,120000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 75% Probability Of Exceedance (3/1/21)",7,20000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 75% Probability Of Exceedance (3/1/21)",8,5000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 75% Probability Of Exceedance (3/1/21)",9,2000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 50% Probability Of Exceedance (3/1/21)",3,113000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 50% Probability Of Exceedance (3/1/21)",4,215000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 50% Probability Of Exceedance (3/1/21)",5,320000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 50% Probability Of Exceedance (3/1/21)",6,160000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 50% Probability Of Exceedance (3/1/21)",7,25000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 50% Probability Of Exceedance (3/1/21)",8,7000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 50% Probability Of Exceedance (3/1/21)",9,3000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 25% Probability Of Exceedance (3/1/21)",3,141000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 25% Probability Of Exceedance (3/1/21)",4,245000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 25% Probability Of Exceedance (3/1/21)",5,375000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 25% Probability Of Exceedance (3/1/21)",6,240000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 25% Probability Of Exceedance (3/1/21)",7,45000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 25% Probability Of Exceedance (3/1/21)",8,12000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 25% Probability Of Exceedance (3/1/21)",9,5000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 10% Probability Of Exceedance (3/1/21)",3,165000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 10% Probability Of Exceedance (3/1/21)",4,275000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 10% Probability Of Exceedance (3/1/21)",5,425000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 10% Probability Of Exceedance (3/1/21)",6,320000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 10% Probability Of Exceedance (3/1/21)",7,70000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 10% Probability Of Exceedance (3/1/21)",8,16000
Upper Tuolumne,"Forecast: Unimpaired flow at TLG, 10% Probability Of Exceedance (3/1/21)",9,7000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 99% Probability Of Exceedance (3/1/21)",3,42000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 99% Probability Of Exceedance (3/1/21)",4,60000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 99% Probability Of Exceedance (3/1/21)",5,65000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 99% Probability Of Exceedance (3/1/21)",6,25000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 99% Probability Of Exceedance (3/1/21)",7,5000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 99% Probability Of Exceedance (3/1/21)",8,1000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 99% Probability Of Exceedance (3/1/21)",9,0
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 90% Probability Of Exceedance (3/1/21)",3,61000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 90% Probability Of Exceedance (3/1/21)",4,97000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 90% Probability Of Exceedance (3/1/21)",5,103000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 90% Probability Of Exceedance (3/1/21)",6,40000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 90% Probability Of Exceedance (3/1/21)",7,10000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 90% Probability Of Exceedance (3/1/21)",8,2000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 90% Probability Of Exceedance (3/1/21)",9,0
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 75% Probability Of Exceedance (3/1/21)",3,73000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 75% Probability Of Exceedance (3/1/21)",4,121000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 75% Probability Of Exceedance (3/1/21)",5,136000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 75% Probability Of Exceedance (3/1/21)",6,55000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 75% Probability Of Exceedance (3/1/21)",7,13000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 75% Probability Of Exceedance (3/1/21)",8,4000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 75% Probability Of Exceedance (3/1/21)",9,1000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 50% Probability Of Exceedance (3/1/21)",3,94000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 50% Probability Of Exceedance (3/1/21)",4,145000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 50% Probability Of Exceedance (3/1/21)",5,170000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 50% Probability Of Exceedance (3/1/21)",6,70000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 50% Probability Of Exceedance (3/1/21)",7,15000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 50% Probability Of Exceedance (3/1/21)",8,6000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 50% Probability Of Exceedance (3/1/21)",9,3000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 25% Probability Of Exceedance (3/1/21)",3,117000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 25% Probability Of Exceedance (3/1/21)",4,165000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 25% Probability Of Exceedance (3/1/21)",5,215000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 25% Probability Of Exceedance (3/1/21)",6,115000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 25% Probability Of Exceedance (3/1/21)",7,30000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 25% Probability Of Exceedance (3/1/21)",8,10000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 25% Probability Of Exceedance (3/1/21)",9,6000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 10% Probability Of Exceedance (3/1/21)",3,146000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 10% Probability Of Exceedance (3/1/21)",4,185000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 10% Probability Of Exceedance (3/1/21)",5,255000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 10% Probability Of Exceedance (3/1/21)",6,160000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 10% Probability Of Exceedance (3/1/21)",7,40000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 10% Probability Of Exceedance (3/1/21)",8,13000
Upper Stanislaus,"Forecast: Unimpaired flow at GDW, 10% Probability Of Exceedance (3/1/21)",9,9000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 99% Probability Of Exceedance (3/1/21)",3,79000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 99% Probability Of Exceedance (3/1/21)",4,99000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 99% Probability Of Exceedance (3/1/21)",5,105000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 99% Probability Of Exceedance (3/1/21)",6,32000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 99% Probability Of Exceedance (3/1/21)",7,9000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 99% Probability Of Exceedance (3/1/21)",8,5000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 99% Probability Of Exceedance (3/1/21)",9,5000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 90% Probability Of Exceedance (3/1/21)",3,105000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 90% Probability Of Exceedance (3/1/21)",4,142000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 90% Probability Of Exceedance (3/1/21)",5,149000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 90% Probability Of Exceedance (3/1/21)",6,46000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 90% Probability Of Exceedance (3/1/21)",7,13000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 90% Probability Of Exceedance (3/1/21)",8,7000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 90% Probability Of Exceedance (3/1/21)",9,7000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 75% Probability Of Exceedance (3/1/21)",3,144000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 75% Probability Of Exceedance (3/1/21)",4,198000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 75% Probability Of Exceedance (3/1/21)",5,210000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 75% Probability Of Exceedance (3/1/21)",6,64000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 75% Probability Of Exceedance (3/1/21)",7,18000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 75% Probability Of Exceedance (3/1/21)",8,10000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 75% Probability Of Exceedance (3/1/21)",9,10000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 50% Probability Of Exceedance (3/1/21)",3,193000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 50% Probability Of Exceedance (3/1/21)",4,255000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 50% Probability Of Exceedance (3/1/21)",5,270000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 50% Probability Of Exceedance (3/1/21)",6,82000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 50% Probability Of Exceedance (3/1/21)",7,23000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 50% Probability Of Exceedance (3/1/21)",8,13000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 50% Probability Of Exceedance (3/1/21)",9,13000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 25% Probability Of Exceedance (3/1/21)",3,224000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 25% Probability Of Exceedance (3/1/21)",4,314000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 25% Probability Of Exceedance (3/1/21)",5,330000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 25% Probability Of Exceedance (3/1/21)",6,101000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 25% Probability Of Exceedance (3/1/21)",7,30000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 25% Probability Of Exceedance (3/1/21)",8,15000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 25% Probability Of Exceedance (3/1/21)",9,15000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 10% Probability Of Exceedance (3/1/21)",3,286000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 10% Probability Of Exceedance (3/1/21)",4,372000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 10% Probability Of Exceedance (3/1/21)",5,388000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 10% Probability Of Exceedance (3/1/21)",6,120000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 10% Probability Of Exceedance (3/1/21)",7,40000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 10% Probability Of Exceedance (3/1/21)",8,19000
Upper Yuba,"Forecast: Unimpaired flow at YRS, 10% Probability Of Exceedance (3/1/21)",9,19000
