2021 SACRAMENTO RIVER WATER YEAR FORECAST BREAKDOWN,,,,,,,,,,,,,,
"April 1, 2021",,,,,,,,,,,,,,
,Shasta Lake Unimpaired Inflow  [taf],,,,,,,,,,,,,
,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Apr-Jul
,,,,,,,,,,,,1966-2015 avg,"4,407 ","1,704 "
,Yuba River near Smartville plus Deer Creek Unimpaired Flow  [taf],,,,,,,,,,,,,
,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Apr-Jul
99%,24 ,29 ,32 ,51 ,79 ,96 ,115 ,115 ,45 ,10 ,5 ,4 ,605 ,285 
90%,24 ,29 ,32 ,51 ,79 ,96 ,145 ,150 ,50 ,15 ,7 ,7 ,685 ,360 
75%,24 ,29 ,32 ,51 ,79 ,96 ,190 ,195 ,60 ,20 ,10 ,9 ,795 ,465 
50%,24 ,29 ,32 ,51 ,79 ,96 ,245 ,250 ,80 ,25 ,12 ,12 ,935 ,600 
25%,24 ,29 ,32 ,51 ,79 ,96 ,300 ,305 ,100 ,30 ,15 ,14 ,"1,075 ",735 
10%,24 ,29 ,32 ,51 ,79 ,96 ,345 ,350 ,110 ,35 ,17 ,17 ,"1,185 ",840 
,,,,,,,,,,,,1966-2015 avg,"2,268 ",968 
,American River below Folsom Lake Unimpaired Flow  [taf],,,,,,,,,,,,,
,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Apr-Jul
99%,3 ,17 ,29 ,62 ,110 ,128 ,190 ,185 ,73 ,12 ,1 ,1 ,810 ,460 
90%,3 ,17 ,29 ,62 ,110 ,128 ,220 ,215 ,80 ,15 ,3 ,3 ,885 ,530 
75%,3 ,17 ,29 ,62 ,110 ,128 ,255 ,250 ,95 ,17 ,5 ,4 ,975 ,617 
50%,3 ,17 ,29 ,62 ,110 ,128 ,305 ,300 ,115 ,20 ,6 ,5 ,"1,100 ",740 
25%,3 ,17 ,29 ,62 ,110 ,128 ,375 ,366 ,140 ,25 ,8 ,7 ,"1,270 ",906 
10%,3 ,17 ,29 ,62 ,110 ,128 ,430 ,420 ,160 ,30 ,9 ,8 ,"1,405 ","1,040 "
,,,,,,,,,,,,1966-2015 avg,"2,626 ","1,199 "
,Sacramento River Unimpaired Runoff (Northern Sierra Four Rivers or SRI)  [taf],,,,,,,,,,,,,
,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Apr-Jul
99%,362 ,373 ,438 ,631 ,836 ,873 ,920 ,790 ,413 ,247 ,196 ,186 ,"6,265 ","2,370 "
90%,362 ,373 ,438 ,631 ,836 ,873 ,1070 ,930 ,475 ,285 ,225 ,211 ,"6,710 ","2,760 "
75%,362 ,373 ,438 ,631 ,836 ,873 ,1265 ,1100 ,550 ,327 ,263 ,251 ,"7,270 ","3,242 "
50%,362 ,373 ,438 ,631 ,836 ,873 ,1515 ,1325 ,655 ,385 ,303 ,289 ,"7,985 ","3,880 "
25%,362 ,373 ,438 ,631 ,836 ,873 ,1800 ,1586 ,780 ,450 ,355 ,341 ,"8,825 ","4,616 "
10%,362 ,373 ,438 ,631 ,836 ,873 ,2035 ,1785 ,865 ,505 ,395 ,376 ,"9,475 ","5,190 "
,,,,,,,,,,,,1966-2015 avg,"17,845 ","6,293 "
,,,,,,,,,,,,,,
